task_id,attempt,role,model,prompt_tokens,completion_tokens,usd,priced,latency_ms
django__django-10914,1,builder,claude-sonnet-5,6520,313,0.016170,True,6237
django__django-10924,1,builder,claude-sonnet-5,9122,752,0.025764,True,8969
django__django-11001,1,builder,claude-sonnet-5,9670,930,0.028640,True,9929
django__django-11019,1,builder,claude-sonnet-5,9468,16000,0.178936,True,134775
django__django-11039,1,builder,claude-sonnet-5,8646,293,0.020222,True,3351
django__django-11039,1,reviewer,claude-sonnet-5,668,8,0.001416,True,2299
django__django-11049,1,builder,claude-sonnet-5,8208,506,0.021476,True,6079
django__django-11049,1,reviewer,claude-sonnet-5,897,8,0.001874,True,1667
django__django-11099,1,builder,claude-sonnet-5,2073,362,0.007766,True,3431
django__django-11099,1,reviewer,claude-sonnet-5,784,8,0.001648,True,2080
django__django-11133,1,builder,claude-sonnet-5,9327,391,0.022564,True,4984
django__django-11133,1,reviewer,claude-sonnet-5,767,235,0.003884,True,5670
django__django-11133,2,builder,claude-sonnet-5,9500,220,0.021200,True,4394
django__django-11133,2,reviewer,claude-sonnet-5,597,8,0.001274,True,3659
django__django-11179,1,builder,claude-sonnet-5,3775,1845,0.026000,True,17153
django__django-11283,1,builder,claude-sonnet-5,5443,5437,0.065256,True,40674
django__django-11422,1,builder,claude-sonnet-5,5829,1603,0.027688,True,15889
django__django-11422,1,reviewer,claude-sonnet-5,772,8,0.001624,True,2361
django__django-11564,1,builder,claude-sonnet-5,9182,7293,0.091294,True,62777
django__django-11620,1,builder,claude-sonnet-5,7664,4330,0.058628,True,41449
django__django-11620,1,reviewer,claude-sonnet-5,690,8,0.001460,True,2730
django__django-11630,1,builder,claude-sonnet-5,9149,16000,0.178298,True,170163
django__django-11742,1,builder,claude-sonnet-5,8773,4228,0.059826,True,39148
django__django-11797,1,builder,claude-sonnet-5,5175,16000,0.170350,True,158623
django__django-11815,1,builder,claude-sonnet-5,9232,582,0.024284,True,6554
django__django-11848,1,builder,claude-sonnet-5,2882,311,0.008874,True,4263
django__django-11848,1,reviewer,claude-sonnet-5,680,8,0.001440,True,2996
django__django-11905,1,builder,claude-sonnet-5,706,662,0.008032,True,7384
django__django-11910,1,builder,claude-sonnet-5,8971,1181,0.029752,True,11489
django__django-11964,1,builder,claude-sonnet-5,9774,3467,0.054218,True,32675
django__django-11964,1,reviewer,claude-sonnet-5,602,119,0.002394,True,2222
django__django-11999,1,builder,claude-sonnet-5,9117,2364,0.041874,True,23297
django__django-11999,1,reviewer,claude-sonnet-5,709,8,0.001498,True,1867
django__django-12113,1,builder,claude-sonnet-5,11494,16000,0.182988,True,180700
django__django-12125,1,builder,claude-sonnet-5,7141,6062,0.074902,True,46525
django__django-12184,1,builder,claude-sonnet-5,7004,1526,0.029268,True,15295
