task_id,attempt,role,model,prompt_tokens,completion_tokens,usd,priced,latency_ms
django__django-10914,1,builder,claude-sonnet-5,6520,321,0.016250,True,7862
django__django-10914,2,builder,claude-sonnet-5,6634,812,0.021388,True,9474
django__django-10914,3,builder,claude-sonnet-5,6634,730,0.020568,True,8656
django__django-10914,4,builder,claude-sonnet-5,6634,869,0.021958,True,9259
django__django-10924,1,builder,claude-sonnet-5,9400,707,0.025870,True,9003
django__django-10924,2,builder,claude-sonnet-5,10291,2147,0.042052,True,22846
django__django-10924,2,reviewer,claude-sonnet-5,587,8,0.001254,True,1552
django__django-11001,1,builder,claude-sonnet-5,9670,1000,0.029340,True,10815
django__django-11001,2,builder,claude-sonnet-5,9787,913,0.028704,True,8830
django__django-11001,3,builder,claude-sonnet-5,9787,850,0.028074,True,8059
django__django-11001,4,builder,claude-sonnet-5,9787,956,0.029134,True,13545
django__django-11001,4,reviewer,claude-sonnet-5,858,256,0.004276,True,4751
django__django-11001,5,builder,claude-sonnet-5,9861,599,0.025712,True,8200
django__django-11001,5,reviewer,claude-sonnet-5,622,8,0.001324,True,1690
django__django-11019,1,builder,claude-sonnet-5,8573,16000,0.177146,True,149293
django__django-11019,2,builder,claude-sonnet-5,8649,16000,0.177298,True,141117
django__django-11019,3,builder,claude-sonnet-5,8649,16000,0.177298,True,139165
django__django-11039,1,builder,claude-sonnet-5,8447,293,0.019824,True,6193
django__django-11039,1,reviewer,claude-sonnet-5,668,8,0.001416,True,2356
django__django-11049,1,builder,claude-sonnet-5,8796,672,0.024312,True,7073
django__django-11049,1,reviewer,claude-sonnet-5,1063,90,0.003026,True,3785
django__django-11049,2,builder,claude-sonnet-5,8981,244,0.020402,True,3912
django__django-11049,2,reviewer,claude-sonnet-5,616,8,0.001312,True,2053
django__django-11099,1,builder,claude-sonnet-5,2073,362,0.007766,True,3588
django__django-11099,1,reviewer,claude-sonnet-5,784,8,0.001648,True,2658
django__django-11133,1,builder,claude-sonnet-5,9327,388,0.022534,True,4987
django__django-11133,2,builder,claude-sonnet-5,10310,866,0.029280,True,10079
django__django-11133,2,reviewer,claude-sonnet-5,547,337,0.004464,True,5029
django__django-11133,3,builder,claude-sonnet-5,9526,220,0.021252,True,4706
django__django-11133,3,reviewer,claude-sonnet-5,597,8,0.001274,True,1562
django__django-11179,1,builder,claude-sonnet-5,3817,851,0.016144,True,10367
django__django-11179,2,builder,claude-sonnet-5,3931,4404,0.051902,True,37286
django__django-11179,3,builder,claude-sonnet-5,3931,9134,0.099202,True,74580
django__django-11179,4,builder,claude-sonnet-5,3931,7518,0.083042,True,62880
django__django-11283,1,builder,claude-sonnet-5,5443,6215,0.073036,True,47659
django__django-11283,2,builder,claude-sonnet-5,6311,11844,0.131062,True,94261
django__django-11283,3,builder,claude-sonnet-5,5573,11542,0.126566,True,85197
django__django-11283,4,builder,claude-sonnet-5,6343,4999,0.062676,True,38552
django__django-11422,1,builder,claude-sonnet-5,5369,16000,0.170738,True,155756
django__django-11422,2,builder,claude-sonnet-5,5463,1961,0.030536,True,19667
django__django-11422,2,reviewer,claude-sonnet-5,781,8,0.001642,True,1948
django__django-11564,1,builder,claude-sonnet-5,9182,8720,0.105564,True,82696
django__django-11564,2,builder,claude-sonnet-5,10084,8160,0.101768,True,70969
django__django-11564,3,builder,claude-sonnet-5,9295,11792,0.136510,True,103057
django__django-11564,4,builder,claude-sonnet-5,10070,8089,0.101030,True,69848
django__django-11583,1,builder,claude-sonnet-5,10665,5219,0.073520,True,44369
django__django-11583,2,builder,claude-sonnet-5,10779,4828,0.069838,True,40583
django__django-11583,3,builder,claude-sonnet-5,10779,2237,0.043928,True,21739
django__django-11583,4,builder,claude-sonnet-5,10779,4081,0.062368,True,35334
django__django-11620,1,builder,claude-sonnet-5,8999,16000,0.177998,True,155932
django__django-11620,2,builder,claude-sonnet-5,9075,16000,0.178150,True,155998
django__django-11620,3,builder,claude-sonnet-5,9075,3887,0.057020,True,38975
django__django-11620,4,builder,claude-sonnet-5,9110,13932,0.157540,True,132159
django__django-11630,1,builder,claude-sonnet-5,9227,4470,0.063154,True,42181
django__django-11630,2,builder,claude-sonnet-5,9343,8257,0.101256,True,61997
django__django-11630,3,builder,claude-sonnet-5,9343,16000,0.178686,True,124968
django__django-11630,4,builder,claude-sonnet-5,9303,16000,0.178606,True,140602
django__django-11742,1,builder,claude-sonnet-5,4796,4220,0.051792,True,33888
django__django-11742,2,builder,claude-sonnet-5,4913,2938,0.039206,True,24952
django__django-11742,2,reviewer,claude-sonnet-5,970,8,0.002020,True,3397
django__django-11797,1,builder,claude-sonnet-5,3903,16000,0.167806,True,163133
django__django-11797,2,builder,claude-sonnet-5,3979,16000,0.167958,True,157159
django__django-11797,3,builder,claude-sonnet-5,3979,16000,0.167958,True,150658
django__django-11815,1,builder,claude-sonnet-5,9796,701,0.026602,True,6339
django__django-11815,2,builder,claude-sonnet-5,9912,1102,0.030844,True,9408
django__django-11815,3,builder,claude-sonnet-5,9912,796,0.027784,True,7081
django__django-11815,4,builder,claude-sonnet-5,9912,927,0.029094,True,10940
django__django-11848,1,builder,claude-sonnet-5,2882,537,0.011134,True,6991
django__django-11848,1,reviewer,claude-sonnet-5,907,311,0.004924,True,4623
django__django-11905,1,builder,claude-sonnet-5,706,351,0.004922,True,5630
django__django-11905,2,builder,claude-sonnet-5,1609,3408,0.037298,True,37292
django__django-11905,3,builder,claude-sonnet-5,1696,7209,0.075482,True,75892
django__django-11905,4,builder,claude-sonnet-5,1609,952,0.012738,True,9876
django__django-11910,1,builder,claude-sonnet-5,8971,13202,0.149962,True,108018
django__django-11910,2,builder,claude-sonnet-5,9089,12624,0.144418,True,105353
django__django-11910,3,builder,claude-sonnet-5,9089,15962,0.177798,True,141325
django__django-11910,4,builder,claude-sonnet-5,9089,16000,0.178178,True,138414
django__django-11964,1,builder,claude-sonnet-5,10415,995,0.030780,True,10894
django__django-11964,2,builder,claude-sonnet-5,10528,9001,0.111066,True,81817
django__django-11964,2,reviewer,claude-sonnet-5,632,8,0.001344,True,2021
django__django-11999,1,builder,claude-sonnet-5,8239,2993,0.046408,True,30549
django__django-11999,1,reviewer,claude-sonnet-5,791,8,0.001662,True,1766
django__django-12113,1,builder,claude-sonnet-5,11494,16000,0.182988,True,188632
django__django-12113,2,builder,claude-sonnet-5,11570,16000,0.183140,True,184366
django__django-12113,3,builder,claude-sonnet-5,11570,16000,0.183140,True,183599
django__django-12125,1,builder,claude-sonnet-5,9719,2671,0.046148,True,27229
django__django-12125,1,reviewer,claude-sonnet-5,608,8,0.001296,True,2077
django__django-12184,1,builder,claude-sonnet-5,4165,860,0.016930,True,8618
django__django-12184,2,builder,claude-sonnet-5,4279,3084,0.039398,True,32169
django__django-12184,2,reviewer,claude-sonnet-5,651,8,0.001382,True,1959
django__django-12284,1,builder,claude-sonnet-5,9233,3862,0.057086,True,41099
django__django-12284,2,builder,claude-sonnet-5,9350,16000,0.178700,True,166821
django__django-12284,3,builder,claude-sonnet-5,9309,16000,0.178618,True,165597
django__django-12284,4,builder,claude-sonnet-5,9309,16000,0.178618,True,166572
