task_id,solved,attempts,failure_type,prompt_tokens,completion_tokens,wall_ms,model
django__django-10914,False,1,patch_apply_error,6520,313,9556,claude-sonnet-5
django__django-10924,False,1,patch_apply_error,9122,752,12152,claude-sonnet-5
django__django-11001,False,1,failed_tests,9670,930,43701,claude-sonnet-5
django__django-11019,False,1,patch_apply_error,9468,16000,137529,claude-sonnet-5
django__django-11039,True,1,,9314,301,40888,claude-sonnet-5
django__django-11049,True,1,,9105,514,39586,claude-sonnet-5
django__django-11099,True,1,,2857,370,38650,claude-sonnet-5
django__django-11133,True,2,,20191,854,81950,claude-sonnet-5
django__django-11179,False,1,patch_apply_error,3775,1845,19859,claude-sonnet-5
django__django-11283,False,1,patch_apply_error,5443,5437,43876,claude-sonnet-5
django__django-11422,True,1,,6601,1611,53613,claude-sonnet-5
django__django-11564,False,1,failed_tests,9182,7293,97066,claude-sonnet-5
django__django-11583,False,1,model_error,0,0,9565,claude-sonnet-5
django__django-11620,True,1,,8354,4338,101239,claude-sonnet-5
django__django-11630,False,1,patch_apply_error,9149,16000,173172,claude-sonnet-5
django__django-11742,False,1,patch_apply_error,8773,4228,42168,claude-sonnet-5
django__django-11797,False,1,patch_apply_error,5175,16000,161612,claude-sonnet-5
django__django-11815,False,1,patch_apply_error,9232,582,12757,claude-sonnet-5
django__django-11848,True,1,,3562,319,50850,claude-sonnet-5
django__django-11905,False,1,patch_apply_error,706,662,9863,claude-sonnet-5
django__django-11910,False,1,patch_apply_error,8971,1181,14930,claude-sonnet-5
django__django-11964,True,1,,10376,3586,70249,claude-sonnet-5
django__django-11999,True,1,,9826,2372,59807,claude-sonnet-5
django__django-12113,False,1,patch_apply_error,11494,16000,183839,claude-sonnet-5
django__django-12125,False,1,patch_apply_error,7141,6062,49836,claude-sonnet-5
django__django-12184,False,1,patch_apply_error,7004,1526,18478,claude-sonnet-5
