task_id,solved,attempts,failure_type,prompt_tokens,completion_tokens,wall_ms,model
django__django-10914,False,4,patch_apply_error,26422,2732,42618,claude-sonnet-5
django__django-10924,True,2,,20278,2862,167082,claude-sonnet-5
django__django-11001,True,5,,50372,4582,154428,claude-sonnet-5
django__django-11019,False,4,budget_exceeded,25871,48000,435159,claude-sonnet-5
django__django-11039,True,1,,9115,301,62576,claude-sonnet-5
django__django-11049,True,2,,19456,1014,102206,claude-sonnet-5
django__django-11099,True,1,,2857,370,56429,claude-sonnet-5
django__django-11133,True,3,,30307,1819,147058,claude-sonnet-5
django__django-11179,False,4,patch_apply_error,15610,21907,191433,claude-sonnet-5
django__django-11283,False,4,failed_tests,23670,34600,387235,claude-sonnet-5
django__django-11422,True,2,,11613,17969,233173,claude-sonnet-5
django__django-11564,False,4,failed_tests,38631,36761,418902,claude-sonnet-5
django__django-11583,False,4,patch_apply_error,43002,16365,149220,claude-sonnet-5
django__django-11620,False,4,patch_apply_error,36259,49819,490063,claude-sonnet-5
django__django-11630,False,4,patch_apply_error,37216,44727,377160,claude-sonnet-5
django__django-11742,True,2,,10679,7166,117914,claude-sonnet-5
django__django-11797,False,4,budget_exceeded,11861,48000,477139,claude-sonnet-5
django__django-11815,False,4,patch_apply_error,39532,3526,41138,claude-sonnet-5
django__django-11848,True,1,,3789,848,78447,claude-sonnet-5
django__django-11905,False,4,failed_tests,5620,11920,253670,claude-sonnet-5
django__django-11910,False,4,patch_apply_error,36238,57788,501266,claude-sonnet-5
django__django-11964,True,2,,21575,10004,152967,claude-sonnet-5
django__django-11999,True,1,,9030,3001,89119,claude-sonnet-5
django__django-12113,False,4,budget_exceeded,34634,48000,563657,claude-sonnet-5
django__django-12125,True,1,,10327,2679,86532,claude-sonnet-5
django__django-12184,True,2,,9095,3952,102713,claude-sonnet-5
django__django-12284,False,4,patch_apply_error,37201,51862,547877,claude-sonnet-5
